Sn,CODE,Department ,Degree,Hostel,Year of Graduation,City,Country,Designation,Institution,Work Profile,,
11,AL 111,SOM,Master of Management,12,2011,Kolkata,India,Senior Manager,Genpact,"Data Engineering and Analytics Specialist, Thorough understanding of Financial Industry & CapitalMarkets, Risk and Regulatory expert. An MBA and Engineer (IIT)",,
12,AL 112,Mathematics (ASI),MSc.,6,2016,Gurgaon (Delhi-NCR),India,Business Analyst,American Express,I have been working for Credit Risk team at American Express and have been involved in implementation of some Credit Risk model. Apart from implementing these GBM models I have also been involved in managing them on a regular basis and finding ways to keep improving the models along with searching for opportunities of development. Prior to this I worked with BookMyShow where I worked on many adhoc analyses apart from working on different predictive and prescriptive analytics projects on end to end basis.,,
13,AL 113,Civil Engineering,B.Tech,7,2014,Navi Mumbai,India,Senior Associate,PwC Analytics Advisory (erstwhile Diamond),"Work as senior associate in PWC, his work is mostly related to Analytics embedded management consulting.",,
14,AL 114,Civil Engineering,B.Tech,8,2017,Mumbai,India,Experienced Associate,PwC US Advisory,"Experienced Associate in PwC US Advisory,Mumbai.Major area of interest is data consulting and analytics.",,
15,AL 115,Civil Engineering,Dual,5,2004,Indore,India,Indore,Skill Maestro,"Result oriented professional with broad range of experience in the areas of banking and financial services. Competency in underwriting, risk analytics, exotics option pricing, data modeling & forecasting.
Experienced in acquisition and risk management (development, implementation and monitoring of underwriting/credit, segmentation and pricing policies) for large consumer co-brand portfolios.
",,
16,AL 116,Chemical,B.Tech,10,2016,Bangalore,India,Volunteer (Healthcare),Indian Software Product Industry RoundTable (iSPIRT),"I work to leverage software technology to solve societal problems. This means using data and technology to address issues such as financial inclusion, healthcare, education, etc. Would love to speak to students interested in such work, Been Business Analyst at A.T. Kearney, Worked on several analytics-oriented projects as part of the Procurement and Analytics Solutions (PAS) team",,
17,AL 117,Sjmsom,Mom,H12,2008,Singapore ,Singapore ,"Head, strategy ",Standard Chartered Bank,"Head, strategy at Standard Chartered Bank. Operations and data analytics. Worked at Citibank and TCS.",,
18,AL 118,Industrial Engineering & Operations Research,M.Tech,12,2012,Mumbai,India,Associate,JP Morgan & Chase,"Associate at JP Morgan & Chase. Decision Analytics, Resource Planning and Optimization. An Operations Research and Analytics Professional with over 5+ years of versatile experience in domains of Banking, Aviation, Supply Chain, Logistics and Manufacturing Industries in taking Mathematics driven Business Decisions. Specialities : Linear & Mixed Integer Programming, Large Scale Optimization, Queueing Theory, Machine Learning. Technology : Ilog Cplex OPL Studio and Concert with Java C++, Python, SAS, SQL, R, VBA, Advanced Excel.",,
19,AL 119,ASI,MSc.,13,2004,LONDON,UNITED KINGDOM,ASSISTANT GENERAL MANAGER  - ANALYTICS & INSIGHTS,TATA CONSULTANCY SERVICES,"Over 14 years industry experience(Tata Consultancy Services,London) in Advanced Analytics, Data Science, Business Intelligence and Information Management covering multiple industries and geographies. MDP in CRM Data Analytics,Field Of StudyCustomer Relationship Management and Data Mining from IIM Lucknow.",,
20,AL 120,CS,B.Tech,H5,1987,Pune,India,Consultant,Edmodo,"Consultant at Edmodo.Worked as Analytics leader in IBM and YuMe, with an expertise in Data Analytics, Data Science, Visualization,  Cloud, Ad Tech.",,
21,AL 121,Computer science,M.Tech,H12,2008,Bangalore,INDIA,VP,Embibe,Principal Data Scientist at Indiavidual Learning (Embibe.com),,
22,AL 122,Mechanical,B.Tech,5,1983,Mumbai,India,Senior Vice President,Aegis customer support services pvt.Ltd.," Senior Vice President at Aegis customer support services. Founder of Raast Solutions LLP, Strategy and Business value enhancement consulting company. Has led IT business units of major SI players and is a subject matter expert in large scale business transformation exercises across globe. Currently focusing on technology startups for enhancing their business value and appeal eventually helping PE/VC for better exit. Was awarded India's greatest corporate leader award 2013 and inclusion as a top contributor in Innovative heros compendium by Dynamic CIO. More than 28 years in General Management, Management Consulting, supply chain, Systems Integration, business process consulting and IT services. Specialties: Business Value enhancement of IT, Consulting, Turnaround, M&A, Purchasing, BPR, BPM, Change Management",,
23,AL 123,Aeronautical,B.Tech,8,1991,Bangalore,India,Vice President,Cartesian Consulting,"Over a 10+ years of Analytics experience preceded by 10 years of Software Development experience with a consistent track record of driving increased levels of growth, productivity, sales and internal/external customer satisfaction. Recognized as a leader who delivers excellence through innovation.
* Career marked by Analytics and Software Development leadership roles at industry leaders like Cisco, Genpact Analytics Center of Excellence and GE Research. 
* Experience working with start-ups in India and US
* Deep expertise in the application of analytics, business intelligence and data mining in multiple industries.
* Have developed and implemented the Analytics Go to Market strategy that resulted in a high double digit YoY growth for 4 consecutive years in a row.
* Have developed Analytics and Decision Technology outsourcing solutions for fortune 500 customers resulting in a Total Contract Value in excess of USD 100M 
* Have managed many large-scale Analytics, IT and Software and initiatives ranging from $200K to $50M
* Experience in Enterprise Sales",,
24,AL 124,ME,Dual,4,2002,Los Angeles,USA,"VP, Sales Operations",Apria Healthcare,"Strategy & analytics professional with extensive sales, marketing and operations credentials gained during 8 years of high-caliber strategy consulting with 3+ years in the industry. A passion for people management and demonstrated leadership qualities, influencing executives towards right business decisions.",,
25,AL 125,IEOR,M.Tech,H11,2012,Mumbai,India,Assistant Manager,General Mills,Assistant manager at General mills.expert in Supply chain analytics,,
26,AL 126,Civil+CS,Dual,8,1984,Mumbai,India,Not working,Not working,Rtd. Director Data Science in 4frontanalytics.former director at Security analytics(worked on image recongnition in banking domain).Interested in Analytics.,,
27,AL 127,Chemical Engg.,B.Tech,4,1985,Pune,India,Senior Vice-President,Bajaj Auto LTD.,We are building up a center for Business Analytics and Digital Technology. The objective is to provide Digital and Analytics solutions to Bajaj Auto and subsequently maybe to the Automotive Industry.,,
28,AL 128,Chemistry,MSc.,H6,1995,HYDERABAD,India,Senior Patent Analyst,Momentive Performance Materials,"I have worked in Pharma and Polymer Industry for 5.7 yrs as Scientist and shifted to Intellectual Property Rights and currently working in this field since Oct 2006.
Always excited to work in an environment where intellectual property is considered as a tool to generate revenues for businesses and not juts an enforcement tool.",,
29,AL 129,MEMS,B.Tech,13,2014,Bangalore,India,Analyst,Philips Lighting Ltd,Business and Data Analyst at Philips Lighting ltd. Former Senior Analyst at Fractal Analytics,,
30,AL 130,Mathematics,MSc.,13,2004,Kolkata,India,Vice President ,HSBC GR,"Primarily worked in Credit Risk Management which involved bank-wide Model Governance, designing Management Information generation tools and Data Visualization.Currently leading Model Monitoring and Model Remediation of Business and Regulatory Models for Europe and North America and the Vice President, Model Management at HSBC

",,
31,AL 131,Computer Science and Engineering,M.Tech,H11,2012,Bangalore,India,Senior Applied Research Engineer - Machine Learning,LinkedIn,"Senior Applied Research Engineer - Machine Learning at LinkedIn. Experienced Machine Learning Researcher and Software Engineer with a demonstrated history of working in the internet industry. Skilled in Predictive Modeling, Natural Language Processing, Python, Big Data Platforms design, Databases and Java. Strong engineering professional with a Master of Technology (M.Tech.) focused in Natural Language Processing from Indian Institute of Technology, Bombay.",,
32,AL 132,Mechanical Engg,B.Tech,9,2006,Bengaluru,India,Data Scientist,Zapr,i am a data scientist at zapr.I Build data science products and data driven strategy across startups and large firms,,
33,AL 133,"KReSIT, CSE",M.Tech,12,2005,Bangalore,India,Research Engineer(Data Science) - III,OLA Cabs,"Research Engineer(Data Science) - III at OLA Cabs. working on multiple problems related to ML, Optimisation",,
34,CR 101,Aerospace,Dual,6,2014,"Powai, Mumbai",India,CEO,Manastu Space Technologies,Worked in the field of aerospace on satellites and jet engines. Currently our company is working on the green propulsion system for the satellites.,,
35,CR 102,Aerospace Engineering,M.Tech,12,2009,Pune,India,Engineer,Ansys software Pvt. Ltd.,"Experienced Technology Specialist with a demonstrated history of working in the Engineering Analysis industry. Strong professional skilled in CFD, Heat Transfer, Turbomachinery, Aerodynamics and FluidStructure Interaction.",,
36,CR 103,Biosciences,MSc.,H-11,2007,Hyderabad,India,"Co-Founder,AvidInvent",AvidInvent,"Co-Founder,AvidInvent.Experience in Patent Analysis and Research, Freedom To Operate assessment, Patent Drafting and Filing, Patent prosecution (India)",,
37,CR 104,CESE,M.Tech,H-11,2005,Delhi,India,Proprietor ,Elite Consultancy Services,"Experience of HR and technical consultancy at Tata Consulting Engineers Limited and STUP Consultants P. Ltd, Currently, Proprietor at Elite Consultancy Services",,
38,CR 105,Chemical,B.Tech,8,1976,Bharuch,India,Sr Vice President,Reliance industries ltd,"Senior Vice President at Reliance Industries Limited, Interested in Technical Services and Projects",,
39,CR 106,Chemical Eng,B.Tech,H4,1988,Chennai ,India ,VP,Pfizer,"Head of R&D (Product Development / Project & Portfolio Management) and former head of portfolio management at Pfizer,Chennai.Former Head-Program Management (India) at Hospira.Former Director, Sales and Business Development at Cytovance Biologics.",,
40,CR 107,Chemical Engineering,B.Tech,8,2006,Boston,United States,Process Engineer,Jacobs,Process engineer at jacobs.,,
41,CR 108,Chemical Engineering,B.Tech,Six,1985,Mumbai,India,Senior General Manager & Head Of Department - Plant Design,Thyssenkrupp Industrial Solutions India Pvt Ltd,"Managing Engineering of Mega Fertilizers, Refineries, Petrochemical plants all over world.",,
42,CR 109,Chemical Engineering,B.Tech,H 10,2015,Bangalore,India,Process Engineer,Shell India Markets Pvt Ltd.,"Process Engineer at Shell India Markets Pvt Ltd. I am a Chemical Engineer graduated from Indian Institute of Technology Bombay, Mumbai. I have done an internship in Research Group INRIA, Grenoble France developing an algorithm in C++ for deformation of molecules. I did my internship in Royal Dutch Shell as a Process Engineer in 2014 and joined Shell as a Technologist in 2015. Process engineering related dealing with oil and gas refineries. ",,
43,CR 110,Chemical Engineering,B.Tech,4,2013,Navi Mumbai,India,Assistant Manager,VVF India Ltd,Currently a Manager at VVF India. Involved in projects of Process Engineering,,
44,CR 111,Chemical Engineering,5 Year Integrated MTech (1990),H5,1990,Bengaluru,India,Managing Partner & Principal Coach,NKOACH LLP,"Worked for  25 years in the Oil & Gas industry, in a range of functions and roles, which broadly fall in 3 key skill pools - Process Engineering, Project Management and Supply Chain Management. In these areas,have worked within the business, as well as provided support as a consultant. 

For the last 3 years, Branched out and established executive coaching practice. As an executive coach, work with Companies, and Individuals in the areas of Leadership Development and Career Management.",,
45,CR 112,Chemical Engineering,Dual,6,2016,Bangalore,India,Process engineer,Shell India Markets Pvt Ltd,"Technical consultancy to Shell sites: Plant support, equipment design etc, Led a 3-tier team of 30 people in the research and production of Biodiesel from different sources of oil",,
46,CR 113,Chemical Engineering,PhD,H1,1989,BANGALORE,INDIA,DIRECTOR,ANANYAVIJAYA CONSULTANCY LLP,"Director at Ananyavijaya Consultancy LLP. Manufacturing, Project Engineering, Chemical Industry, Solar PV Manufacturing, Solar PV Power Projects, R&D, Design, Management Consulting.",,
47,CR 114,Chemical Engineering,B.Tech,h6 and h13,2013,Mumbai,India,External Consultant,Free Lance,"Process Engineer - Abeinsa BD (Abengoa, Spain). Process Engineering - Oil and Gas, Water industries. using many simulation tools like Gate Cycle, Aspen plus, SIPEP Application, IMS Hydraunatics and Dow’s ROSA for design of various Simple and Combine Cycle Power plants, Biofuel Refineries, and SWRO plants.",,
48,CR 115,Chemical Engineering,B.Tech,9,2011,Singapore,Singapore,Asia Pacific Europe Manufacturing Planner,ExxonMobil Chemicals,Worked with Reliance Industries for 2 years after graduation and for last 5 years Been working with ExxonMobil Singapore. Did Project Management and Technical Advisor jobs previously and now work closely with our company's APEU Regional Director for Corporate Planning and stewardships. ExxonMobil gives us job rotations every 2 years which makes working for the company really interesting and gives us opportunities to improve our knowledge and skills and eventually decide how we want our career path to be in the company.,,
49,CR 116,Chemical engineering ,M.Tech,7,1992,Vadodara,India,Partner,Ace Engineering Solutions ,Partner at Ace Engineering Solutions - Engineering consultant,,
50,CR 117,Chemical Engineering ,PhD,None,B. Tech from Calcutta University ,Mumbai,India,"RAJA RAMMANA FELLOW, DEPARTMENT OF ATOMIC ENERGY ",Bhaba Atomic Research Centre ,"Works as RAJA RAMMANA FELLOW, DEPARTMENT OF ATOMIC ENERGY in Bhaba Atomic Research Centre. Major area of work is Nuclear material research and safety review.",,
51,CR 118,Chemistry,5 Yr Int M.Sc.,H4,2012,Vapi,India,Sr. Manager,Aarti Industries Ltd,Sr.Manager at Aarti Industries ltd.,,
52,CR 119,Civil,Dual,9,2010,Mumbai,India,Director,Force Structural Engineers Pvt. Ltd.,"Cofounder, Technical Lead in Bridges and Metro structures.  Lead the technical team of Bridge Engineers as Chief Technical Officer.",,
53,CR 120,civil,B.Tech,4,1990,delhi,india,founder and director,make me builder,"Founder and Director of Make Me Builder,Gurgaon.Founder and Principal Advisor at Three Global Rivers and former Head- Strategic Business Management at Emaar MGF.Former Assistant Head - VC's Office Strategic Planning & Business Development in DLF,Gurgaon.Provides online marketplace platform for construction industry.Hasgood knowledge regarding startups, project management, real estate and architecture, engineering, construction, digital marketing, web development.",,
54,CR 121,CIVIL,M.Tech,5,1991,"Navi Mumbai, Maharashtra India",India,MANAGING DIRECTOR,GMD CONSULTANTS,"Transportation Professional with wide exposure to public and private sector. Have handled projects from inception stage to completion. Presently heading a multidisciplinary team to deliver infrastructure projects such as township infrastructure, metro viaducts & stations, traffic and transportation studies and road projects.",,
55,CR 122,Civil,B.Tech,5,1999,Rancho Santa Margarita,United States,Senior Structural Engineer,Carollo Engineers,Senior Structural Engineer at Carollo Engineers,,
56,CR 123,Civil,M.Tech,12,2005,Gurgaon,India,Sr. Design Engineer,Jacobs,"Plant Drainage in Oil & Gas, CHemical, Pharma and Fertilizer plants. Currently, Sr. Design Engineer at Jacobs.",,
57,CR 124,Civil,B.Tech,H6 and H3,1978,Mumbai,India,Director,Clique Consultants Private Limited,"Engineering Consultant-Owner of Clique Consultants P L,Senior Engineer at Humphreys & Glasgow Consultants P L, Design Engineer-Uhde India Ltd,Design Engineer-Simon Carves India Ltd., Detail Engineering for Industrial Projects",,
58,CR 125,Civil Engineering,PhD,H-12,2015,NOIDA,India,Senior Modeler,RMS Risk Management Solutions,Natural Catastrophe Modeling. Asissted Electricity Regulatory Commission in determining tariffs and Water Authority for developing Bulk Water Tariff Regulations,,
59,CR 126,CIVIL ENGINEERING,M.Tech,12,2009,Dubai,United Arab Emirates,Principal Traffic Enginering,Louis Berger,"Principal Traffic Engineer at Louis Berger. Area of Interests- Traffic Engineering, Transportation Planning, Transport Modelling, Parking Design",,
60,CR 127,Civil Engineering,M.Tech,H-12,2010,Dubai,UAE,Deputy Project Controls Manager,Falconcity of Wonders,"Deputy Project Controls Manager at Falconcity of Wonders.Dead-line Driven and focused Chartered Quantity Surveyor with proven experience in Project controls, Resource planning and Administration in the UAE.",,
61,CR 128,Civil Engineering,B.Tech,6,2011,Jaipur,India,NA,NA,Currently working as General field Eng in Schlumberger.Has 6.5 years of oil and gas field experience with Schlumberger,,
62,CR 129,Computer Science,M.Tech,12,2009,Hyderabad,India,Staff Software Engineer,MapR Technologies,"Staff Software Engineer in MapR Technologies,Hyderabad.Former Software Engineer in Mangstor, Inc,Hyderabad.Former Storage Development Engineer in Dell.Works in Storage domain, has worked on Flash Storage and in Distributed File Systems,has also worked in object storage and dedupe domain.",,
63,CR 130,Computer Science,B.Tech,2,2016,London,United Kingdom,Research Assistant,Imperial College London,Research Assistant at Imperial College London.Works in development of scalable softwares and attacking hardware devices to gauge for privacy leaks.He has worked in startup as founding member and AI Scientist. ,,
64,CR 131,Computer Science & Engineering,B.Tech,5,1996,Mumbai,India,Software Engineer,OK Roger Inc.,"Founding member of the engineering team building OK Roger (a software startup building & leveraging technologies in the area of Artificial Intelligence, Data Science & Machine Learning to build a Personal Assistant for Business Travel). Experience: Accomplished Hands-on Technology geek with a focus on developing scalable products in both consumer and enterprise space.",,
65,CR 132,Computer Science and Engineering,B.Tech,9,2010,Barwaha,India,Algorithmic Trader/Teacher,APT Portfolio/Self,Algorithmic Trader in APT Portfolio(Primarily designing and implementing systems).Tech head and Co-founder in Infinity Algorithms.Also a teacher- teaches problem solving to kids. Intrested in Core Eng.,,
66,CR 133,Computer Science and Engineering,B.Tech,3,2016,Hyderabad,India,Software Engineer,Microsoft,"Software Engineer in Microsoft, Hyderabad. Was Google Summer of Code Student in Python Software Foundation and KDE.Has done work in Computer Graphics, Virtual Reality, Graph Theory, Algorithms and AI.",,
67,CR 134,cse,B.Tech,9,2010,Jaipur,India,MTS 2,Adobe,"Member of Technical Staff II at Adobe, Developed the backend system for the banking and payment services offered by Novopay, Built the backend system of .NET based contact management system built for one of the biggest consultancy firms",,
68,CR 135,CSE,M.Tech,H4,1999,Hyderabad,India,Senior Software Engineer,Microsoft,Senior Software Engineer in Microsoft and has worked on complex projects like Windows and Office.,,
69,CR 136,CSE,M.Tech,H12,2004,Bangalore ,India,Director,Aerospike,Good experience with database internals. Worked primarily in the storage and transaction management.Have good experience in distributed systems architectures. Worked both in shared disk and shared nothing systems.,,
70,CR 137,DRDO,M.Tech,H13,2011,Pune,India,Scientist D,R&DE(E) Pne,Design and Development of Mechanical Systems. Applied research at R & DE,,
71,CR 138,Ee,M.Tech,H14,2011,Bangalore,India,Dr data scientist,Ge,"Senior Data Scientist and former lead engineer at GE Power,Bengaluru.Control systems engineer with proven track record on innovation, product design/development and field commissioning.",,
72,CR 139,Ee,M.Tech,12,2007,Bangalore,India,Digital Design Manager,Texas Instruments,"Digital Design Manager at Texas Instruments,Bangalore.Former Senior Product Engineer and Associate Product Engineer at Magma Design Automation.Majorly interested in Very-large-scale -integration(VLSI).",,
73,CR 140,EE,Dual,H-3,2005,Bangalore,India,Associate,Mckinsey & Company,"Consultant in McKinsey & Company,Bangalore.Former Technical Product Manager in Synopsys,California.Former Component Design Engineer at Intel.Major area of interest is management consultant advising to CXOs on a variety of business problems including devising strategy, large scale transformation and driving business excellence  .",,
74,CR 141,EE,B.Tech,4,1981,Ahmedabad,India,Head - Quality Assurance,Ahmedabad University,Head of quality assurance at ahmedabad university.Substantial past experience in tech driven companies ,,
75,CR 142,EE,M.Tech,1,1995,Hyderabad,India,"Director, Engineering",Qualcomm India,"Experienced technology professional in the field of modem physical layer and multi-media applications, led the development of firmware for market leading 4G chips, currently Director, Engineering at Qualcomm",,
76,CR 143,EE,B.Tech,8,1982,Pune,India,CTO,Bohiyaanam Technology (P) Ltd.,"16 years of experience with Bell Laboratories in software product development and integration. 16 years of entrepreneurial experience in Bohiyaanam Technology (P) Ltd( provides consulting services in the fields of Telecom, Enterprise Networking, Operations Support Systems (OSS), Information Technology and Software Development.),with a combination of intrest in Engineering,Management,research.",,
77,CR 144,Electrial Engg,M.Tech,H-14,2013,Bangalore,India,R&D Engineer IC Design 3,Broadcom Inc,Semiconductor professional with over 4+ years of experience in ASIC/SoC DFT domain: Hands-on experience in planning and implementing DFT solutions for SoC blocks for networking domain across multiple 40nm/28nm/16nm projects. Hands-on experience of SCAN tests implementation using LogicBIST & EDT,,
78,CR 145,Electrical,Dual,9,2008,Bhopal,India,Sr. Design Engineer,Bharat Heavey Electricals Limited,Sr. Design Engineer (Synchronous and Asynchronous Motor & Generator design) in Bharat Heavey Electricals Limited.,,
79,CR 146,Electrical,B.Tech,Five,1974,Pune,India,Freelance power plant consultant,Retired,"Been a power plant professional and through a 39 yrs career worked in all the systems of the power plant and fully conversent with all the major equipment and proficient in all areas of mechanical electrical and instrumentation. Have been in plants right from construction, commissioning, project Management and O&M.",,
80,CR 147,Electrical,M.Tech,H-12,2005,Pune,India,Specialist,Tata Elxsi Limited,"Specialist at Tata Elxsi Limited. Automotive embedded firmware for, telematic systems, driver assistance systems, Incar infotainment systems",,
81,CR 148,Electrical,B.Tech,H9,2014,Hyderabad,India,Senior Engineer,Qualcomm,"Been working in Qualcomm for 4 years now, as part of Board Support Package division (a fancy term for firmware, basically).Write low level drivers for mobile chipsets that control buses, clocks, interrupts, etc.",,
82,CR 149,Electrical,PhD,H1,2008,Indore,India,Scientific Officer,"Raja Ramanna Centre for Advanced Technology, Indore","Switch Mode Power Supplies, capacitor-charging power supply, solid state Pulse Power Supplies, high power single phase and three-phase power factor correction, Multi Level Converters and their analog and digital controllers.",,
83,CR 150,Electrical engineering,M.Tech,9,2002,Bangalore,India,Senior Staff Engineer,Qualcomm Inc,Senior Staff Engineer at Qualcomm Inc. Works in VLSI Design.,,
84,CR 151,Electrical Engineering,PhD,H4,2011,Navi Mumbai,India,Professor,Don Bosco Institute of Technology,Professor at Don Bosco Institute of Technology,,
85,CR 152,Electrical Engineering ,Dual,5,2017,Noida Delhi NCR,India ,Senior Principal Product Engineer,Cadence Design Systems India pvt ltd,Senior Principal Product Engineer at Cadence Design Systems India pvt ltd.experience in EDA/low power analysis,,
86,CR 153,Energy Science & Engineering,M.Tech,5,2009,Mumbai,India,Senior Manager,Tata Consulting Engineers Ltd.,"Senior Manager at Tata Consulting Engineers LTD. Engineering Consultant for Oil & Gas, Fertilizer, Petrochemical, Chemical, FMCG & Pharmaceutical Industries.",,
87,CR 154,Chemical,B.Tech,13,2007,New Delhi,India,Process engineer,Royal dutch shell,"Senior Process Engineer at Royal Dutch Shell. Over 11 yrs of multi-disciplinary experience in oil and gas industry with BG Group (Acquired by Royal Dutch Shell, in Feb-2016). I have worked in countries - Kazakhstan, Trinidad & Tobago and India. Major Work Trainings have been in USA & UK. Disciplines I have been primarily involved in are – Field Operations, Operations engineering & support and Process Safety",,
88,CR 155,IT,M.Tech,H12,2007,Bangalore,India,Principal Member Technical Staff,Oracle,"Principal Member Technical Staff at Oracle.11 years of experience in C, Systems Programming, Clustering and cloud. ",,
89,CR 156,Mechanical,M.Tech,4,2004,Pune,India,Deputy General Manager,Tata Motors,Deputy General Manager at Tata Motors. Works in the field of Design and development of hybrid and electric vehicles,,
90,CR 157,Mechanical,M.Tech,H12,2004,Haridwar,India,Manager,Bharat Heavy Electicals limited,"Manager at Bharat Heavy Electicals limited working in Design of steam turbine component.Skilled in Skilled Stress Analysis, Power Plants, Finite Element Analysis, and Steam Turbines.",,
91,CR 158,Mechanical,B.Tech,5,1972,MUMBAI,India,Retired as Executive Director,Retired from Nuclear Power Corporation of India Ltd,"Engineering Consultant for Design and Engineering related issues for Systems, Structures and Components especially of Nuclear Power Plants.Former Executive Director (Engineering, Procurement and projects) of NPCIL (Nuclear Power Corporation of India limited).",,
92,CR 159,Mechanical,B.Tech,H5,1988,Bangalore,India,Sr Engineering Manager - Systems Engineering,GE Transportation ,"Sr Engineering Manager - Systems Engineering at GE Transportation.Has done commendable work in Product Design, Systems Engineering, R&D, Mechanical Design and Product Architecture .",,
93,CR 160,Mechanical,M.Tech,H12,2008,BENGALORE,India,Technical manager,Ingersoll rand Ltd,"Technical manager at Ingersoll rand Ltd, has done work in CFD, Thermal, New product development and Six sigma ",,
94,CR 161,Mechanical,Dual,8,2012,San Francisco,USA,Product Manager,VMware,product manager at VMware,,
95,CR 162,Mechanical,Dual,4,2010,Mountain View,United States,Engineering Manager,Tesla,"Engineering Manager at Tesla.Former Product Development Eng. in Lime Lab.Has done M.Sc in Mech Eng. form Stanford University.Inerested in Mechanical Engineering, Product design, Electronics, Auto-pilot, sensors and engineering management.",,
96,CR 163,Mechanical,M.Tech,H-12,2018,Nashik,India,Director,Harshada Composite Solutions LLP,"Founding director of Harshada Composite Solutions LLP. Former Head at Centre of Excellence at Nashik Engineering Cluster. Worked as Product Manager in Mahindra & Mahindra Ltd. Specialised in New Product Introduction / Development (NPI), Carbon Fibre Composites, Product design & manufacturing with Composites, Market Research & Feasibility Study.",,
97,CR 164,Mechanical,M.Tech,1,1974,Pune ,India,Founder MAITRI,MAITRI,"Founder of MAITRI (Making Academia Innovative & Technically Relevant to Industry) Initiative. Member, Board of Governors of Engineering & Management Institutes.Chief Consultant at Forbes Marshall. 
Specialties: Heat Transfer, Heat Exchanger Design, Thermal Engineering, CFD, Energy Management, Innovation management, Knowledge Management, Technology Management, R&D Management, IPR, Industry-Institute Interaction, Collaborative Research with academia and research centers both engineering and medical",,
98,CR 165,Mechanical,M.Tech,H8,2008,Chennai,India,Product Manager,Forbes Marshall,"Product Manager at Forbes Marshall . Post Graduate in Mechanical Engineering from IIT Bombay with experience in product development, from conceptualization to commercialization.
-> Experience in leading teams and project management 
-> Experience in theoretical design validation, building laboratory test rigs, product testing, costing and value engineering.
-> Hands on experience in coding, virtual simulations, data analysis,DFMEA and mathematical modeling
-> Global work experience with cross-functional teams and customers.
-> Innovating and collaborating with research institutes in exploring new technologies ",,
99,CR 166,Mechanical ,Dual,H3,2009,Delhi,India,Application ENGINEER,MathWorks ,"Helping customers from Commercial, Government and Academics areas in the areas ADAS, Robotics, Data analytics and Model based design with MATLAB. Been Dy. Manager at  Whirlpool Corporation.",,
100,CR 167,Mechanical Engg,Dual,H7,2014,Mumbai,India,Executive Engineer (Production),ONGC Ltd.,"R&D related to oil and gas production, also involved in new technology induction and imparting training to young executives, been the Assistant Manager at Philips",,
101,CR 168,Mechanical Engineering,M.Tech,H5 and H12,2013,Bangalore,India,Engineer- Mechanical Component,GE Power,"Inolvved in mechanical design of gas turbine components and responsible for full product lifecycle of respective components from past 5 years. It includes all phases of component design (conceptual to detailed), manufacturing, analysis (CAE), ensuring form, fit and function and interaction with various stakeholders.",,
